,data,index,column,old,new
0,data,8,distance,-13,0
1,data,6979,distance,-5,0
2,data,8340,distance,-1,0
3,data,20038,distance,-5,0
4,data,27840,distance,-21,0
5,data,32291,distance,-5,0
6,data,42468,distance,-13,0
7,data,53994,distance,-5,0
8,data,54313,distance,-5,0
9,data,54955,distance,-11,0
10,data,63856,distance,-5,0
11,data,66540,distance,-12,0
12,data,68196,distance,-6,0
13,data,93831,distance,-12,0
14,data,142762,distance,-5,0
15,data,147813,distance,-14,0
16,data,151520,distance,-6,0
17,data,152729,distance,-5,0
18,data,153798,distance,-5,0
19,data,155003,distance,-5,0
20,data,155698,distance,-5,0
21,data,156008,distance,-5,0
22,data,157140,distance,-5,0
