,id,side,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
83,401022516,home,0.0,-1.0,0.0,0.0,,,,,,
157,401020677,home,0.0,4.0,0.0,0.0,,,,,,
227,401022521,home,0.0,0.0,0.0,-2.0,,,,,,
353,401012306,home,0.0,0.0,0.0,0.0,6.0,,,,,
372,401013142,home,0.0,0.0,0.0,0.0,7.0,,,,,
426,401013340,home,0.0,0.0,0.0,0.0,3.0,,,,,
481,401013371,home,0.0,0.0,0.0,0.0,10.0,,,,,
617,401021686,home,0.0,0.0,0.0,-6.0,,,,,,
747,401022561,home,0.0,0.0,-7.0,0.0,,,,,,
758,401012356,home,0.0,0.0,0.0,0.0,3.0,10.0,18.0,21.0,27.0,35.0
818,401056700,home,0.0,0.0,0.0,0.0,3.0,,,,,
845,401032069,home,0.0,0.0,0.0,0.0,3.0,,,,,
183,401012747,away,0.0,0.0,0.0,-7.0,,,,,,
223,401021659,away,0.0,0.0,0.0,-6.0,,,,,,
237,401012749,away,0.0,0.0,0.0,0.0,7.0,,,,,
279,401020684,away,0.0,0.0,0.0,4.0,,,,,,
444,401020759,away,0.0,0.0,0.0,-6.0,,,,,,
481,401013371,away,0.0,0.0,0.0,0.0,9.0,,,,,
512,401012322,away,0.0,0.0,-12.0,-12.0,,,,,,
758,401012356,away,0.0,0.0,0.0,0.0,3.0,10.0,18.0,21.0,27.0,35.0
818,401056700,away,0.0,0.0,0.0,0.0,6.0,,,,,
852,401032076,away,0.0,0.0,0.0,-1.0,,,,,,
